STATISTIC,Statistic Label,TLIST(W1),Week,Sex,C02076V03371,Age Group,UNIT,VALUE
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,460,35 - 39 years,Number,519
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,475,40 - 44 years,Number,371
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,495,45 - 49 years,Number,284
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,515,50 - 54 years,Number,190
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,530,55 - 59 years,Number,103
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,550,60 - 64 years,Number,204
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Male,575,65 years and over,Number,301
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,-,All ages,Number,16269
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,205,0 - 4 years,Number,868
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,245,5 - 9 years,Number,1363
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,265,10 - 14 years,Number,1359
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,300,15 - 19 years,Number,1194
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,365,20 - 24 years,Number,1165
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,410,25 - 29 years,Number,1303
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,440,30 - 34 years,Number,1776
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,460,35 - 39 years,Number,2047
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,475,40 - 44 years,Number,1621
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,495,45 - 49 years,Number,1035
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,515,50 - 54 years,Number,652
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,530,55 - 59 years,Number,515
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,550,60 - 64 years,Number,531
UA06C01,PPSN allocations to arrivals from Ukraine,2022W15,2022 April 17,Female,575,65 years and over,Number,840
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,-,All ages,Number,26383
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,205,0 - 4 years,Number,1954
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,245,5 - 9 years,Number,3020
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,265,10 - 14 years,Number,3006
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,300,15 - 19 years,Number,2242
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,365,20 - 24 years,Number,1616
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,410,25 - 29 years,Number,1893
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,440,30 - 34 years,Number,2470
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,460,35 - 39 years,Number,2791
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,475,40 - 44 years,Number,2212
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,495,45 - 49 years,Number,1447
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,515,50 - 54 years,Number,945
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,530,55 - 59 years,Number,693
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,550,60 - 64 years,Number,824
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Both sexes,575,65 years and over,Number,1270
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,-,All ages,Number,8626
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,205,0 - 4 years,Number,1017
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,245,5 - 9 years,Number,1541
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,265,10 - 14 years,Number,1527
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,300,15 - 19 years,Number,964
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,365,20 - 24 years,Number,341
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,410,25 - 29 years,Number,469
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,440,30 - 34 years,Number,548
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,460,35 - 39 years,Number,575
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,475,40 - 44 years,Number,427
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,495,45 - 49 years,Number,313
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,515,50 - 54 years,Number,206
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,530,55 - 59 years,Number,117
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,550,60 - 64 years,Number,236
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Male,575,65 years and over,Number,345
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,-,All ages,Number,17757
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,205,0 - 4 years,Number,937
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,245,5 - 9 years,Number,1479
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,265,10 - 14 years,Number,1479
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,300,15 - 19 years,Number,1278
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,365,20 - 24 years,Number,1275
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,410,25 - 29 years,Number,1424
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,440,30 - 34 years,Number,1922
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,460,35 - 39 years,Number,2216
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,475,40 - 44 years,Number,1785
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,495,45 - 49 years,Number,1134
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,515,50 - 54 years,Number,739
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,530,55 - 59 years,Number,576
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,550,60 - 64 years,Number,588
UA06C01,PPSN allocations to arrivals from Ukraine,2022W16,2022 April 24,Female,575,65 years and over,Number,925
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,-,All ages,Number,27870
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,205,0 - 4 years,Number,2048
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,245,5 - 9 years,Number,3177
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,265,10 - 14 years,Number,3162
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,300,15 - 19 years,Number,2362
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,365,20 - 24 years,Number,1708
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,410,25 - 29 years,Number,1988
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,440,30 - 34 years,Number,2607
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,460,35 - 39 years,Number,2974
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,475,40 - 44 years,Number,2348
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,495,45 - 49 years,Number,1536
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,515,50 - 54 years,Number,1010
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,530,55 - 59 years,Number,737
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,550,60 - 64 years,Number,876
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Both sexes,575,65 years and over,Number,1337
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,-,All ages,Number,9164
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,205,0 - 4 years,Number,1069
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,245,5 - 9 years,Number,1621
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,265,10 - 14 years,Number,1606
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,300,15 - 19 years,Number,1032
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,365,20 - 24 years,Number,367
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,410,25 - 29 years,Number,498
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,440,30 - 34 years,Number,585
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,460,35 - 39 years,Number,618
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,475,40 - 44 years,Number,471
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,495,45 - 49 years,Number,345
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,515,50 - 54 years,Number,218
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,530,55 - 59 years,Number,123
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,550,60 - 64 years,Number,250
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Male,575,65 years and over,Number,361
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,-,All ages,Number,18706
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,205,0 - 4 years,Number,979
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,245,5 - 9 years,Number,1556
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,265,10 - 14 years,Number,1556
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,300,15 - 19 years,Number,1330
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,365,20 - 24 years,Number,1341
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,410,25 - 29 years,Number,1490
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,440,30 - 34 years,Number,2022
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,460,35 - 39 years,Number,2356
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,475,40 - 44 years,Number,1877
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,495,45 - 49 years,Number,1191
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,515,50 - 54 years,Number,792
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,530,55 - 59 years,Number,614
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,550,60 - 64 years,Number,626
UA06C01,PPSN allocations to arrivals from Ukraine,2022W17,2022 May 01,Female,575,65 years and over,Number,976
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,-,All ages,Number,29886
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,205,0 - 4 years,Number,2178
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,245,5 - 9 years,Number,3373
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,265,10 - 14 years,Number,3383
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,300,15 - 19 years,Number,2521
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,365,20 - 24 years,Number,1816
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,410,25 - 29 years,Number,2130
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,440,30 - 34 years,Number,2804
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,460,35 - 39 years,Number,3175
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,475,40 - 44 years,Number,2521
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,495,45 - 49 years,Number,1660
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,515,50 - 54 years,Number,1103
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,530,55 - 59 years,Number,831
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,550,60 - 64 years,Number,971
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Both sexes,575,65 years and over,Number,1420
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,-,All ages,Number,9872
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,205,0 - 4 years,Number,1135
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,245,5 - 9 years,Number,1721
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,265,10 - 14 years,Number,1720
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,300,15 - 19 years,Number,1104
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,365,20 - 24 years,Number,405
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,410,25 - 29 years,Number,531
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,440,30 - 34 years,Number,635
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,460,35 - 39 years,Number,663
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,475,40 - 44 years,Number,524
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,495,45 - 49 years,Number,382
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,515,50 - 54 years,Number,239
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,530,55 - 59 years,Number,140
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,550,60 - 64 years,Number,286
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Male,575,65 years and over,Number,387
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,-,All ages,Number,20014
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,205,0 - 4 years,Number,1043
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,245,5 - 9 years,Number,1652
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,265,10 - 14 years,Number,1663
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,300,15 - 19 years,Number,1417
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,365,20 - 24 years,Number,1411
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,410,25 - 29 years,Number,1599
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,440,30 - 34 years,Number,2169
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,460,35 - 39 years,Number,2512
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,475,40 - 44 years,Number,1997
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,495,45 - 49 years,Number,1278
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,515,50 - 54 years,Number,864
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,530,55 - 59 years,Number,691
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,550,60 - 64 years,Number,685
UA06C01,PPSN allocations to arrivals from Ukraine,2022W18,2022 May 08,Female,575,65 years and over,Number,1033
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,-,All ages,Number,31611
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,205,0 - 4 years,Number,2282
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,245,5 - 9 years,Number,3547
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,265,10 - 14 years,Number,3546
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,300,15 - 19 years,Number,2651
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,365,20 - 24 years,Number,1930
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,410,25 - 29 years,Number,2275
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,440,30 - 34 years,Number,2957
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,460,35 - 39 years,Number,3363
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,475,40 - 44 years,Number,2654
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,495,45 - 49 years,Number,1769
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,515,50 - 54 years,Number,1202
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,530,55 - 59 years,Number,893
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,550,60 - 64 years,Number,1046
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Both sexes,575,65 years and over,Number,1496
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,-,All ages,Number,10483
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,205,0 - 4 years,Number,1195
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,245,5 - 9 years,Number,1812
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,265,10 - 14 years,Number,1809
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,300,15 - 19 years,Number,1162
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,365,20 - 24 years,Number,447
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,410,25 - 29 years,Number,567
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,440,30 - 34 years,Number,686
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,460,35 - 39 years,Number,712
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,475,40 - 44 years,Number,557
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,495,45 - 49 years,Number,407
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,515,50 - 54 years,Number,266
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,530,55 - 59 years,Number,148
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,550,60 - 64 years,Number,313
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Male,575,65 years and over,Number,402
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,-,All ages,Number,21128
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,205,0 - 4 years,Number,1087
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,245,5 - 9 years,Number,1735
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,265,10 - 14 years,Number,1737
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,300,15 - 19 years,Number,1489
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,365,20 - 24 years,Number,1483
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,410,25 - 29 years,Number,1708
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,440,30 - 34 years,Number,2271
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,460,35 - 39 years,Number,2651
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,475,40 - 44 years,Number,2097
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,495,45 - 49 years,Number,1362
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,515,50 - 54 years,Number,936
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,530,55 - 59 years,Number,745
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,550,60 - 64 years,Number,733
UA06C01,PPSN allocations to arrivals from Ukraine,2022W19,2022 May 15,Female,575,65 years and over,Number,1094
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,-,All ages,Number,33211
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,205,0 - 4 years,Number,2379
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,245,5 - 9 years,Number,3688
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,265,10 - 14 years,Number,3695
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,300,15 - 19 years,Number,2751
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,365,20 - 24 years,Number,2038
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,410,25 - 29 years,Number,2408
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,440,30 - 34 years,Number,3120
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,460,35 - 39 years,Number,3534
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,475,40 - 44 years,Number,2796
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,495,45 - 49 years,Number,1889
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,515,50 - 54 years,Number,1275
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,530,55 - 59 years,Number,950
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,550,60 - 64 years,Number,1113
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Both sexes,575,65 years and over,Number,1575
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,-,All ages,Number,11069
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,205,0 - 4 years,Number,1247
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,245,5 - 9 years,Number,1887
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,265,10 - 14 years,Number,1879
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,300,15 - 19 years,Number,1205
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,365,20 - 24 years,Number,472
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,410,25 - 29 years,Number,611
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,440,30 - 34 years,Number,740
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,460,35 - 39 years,Number,771
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,475,40 - 44 years,Number,602
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,495,45 - 49 years,Number,438
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,515,50 - 54 years,Number,288
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,530,55 - 59 years,Number,156
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,550,60 - 64 years,Number,344
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Male,575,65 years and over,Number,429
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,-,All ages,Number,22142
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,205,0 - 4 years,Number,1132
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,245,5 - 9 years,Number,1801
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,265,10 - 14 years,Number,1816
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,300,15 - 19 years,Number,1546
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,365,20 - 24 years,Number,1566
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,410,25 - 29 years,Number,1797
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,440,30 - 34 years,Number,2380
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,460,35 - 39 years,Number,2763
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,475,40 - 44 years,Number,2194
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,495,45 - 49 years,Number,1451
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,515,50 - 54 years,Number,987
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,530,55 - 59 years,Number,794
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,550,60 - 64 years,Number,769
UA06C01,PPSN allocations to arrivals from Ukraine,2022W20,2022 May 22,Female,575,65 years and over,Number,1146
UA06C01,PPSN allocations to arrivals from Ukraine,2022W21,2022 May 29,Both sexes,-,All ages,Number,34416
